Upload ID,ID,Submitted At (UTC),Submitter Name,DOI,Authors,Species,Year,Location,Latitude,Longitude,Sample Type,Experimental Duration (days),Notes,pCO2 (ppm),pCO2 SD,pCO2 SE,pH NBS,pH NBS SD,pH NBS SE,pH SWS,pH SWS SD,pH SWS SE,pH Tot,pH Tot SD,pH Tot SE,Temperature (°C),Temp SD,Temp SE,Salinity (psu),Sal SD,Sal SE,TA (μmol/kg),TA SD,TA SE,Omega A,Omega A SD,Omega A SE,Omega C,Omega C SD,Omega C SE,DIC (μmol/kg),DIC SD,DIC SE,CO3 (μmol/kg),CO3 SD,CO3 SE,HCO3 (μmol/kg),HCO3 SD,HCO3 SE,DO (μmol/kg),DO SD,DO SE,Irradiance (μmol/m2/s),Irr SD,Irr SE,Irradiance Total (mol quanta m-2day-1),Irr Total SD,Irr Total SE,N,Calcification Rate,Calcification Rate SD,Calcification Rate SE,Calcification Rate Unit
NQL2R4G9,32,2025-11-26 21:15:34 UTC,asdf,10.3354/meps11591,Peach K.E.; Koch M.S.; Blackwelder P.L.,Halimeda discoidea,,"Boca Raton, Florida, US",26.327,-80.0721666666667,,,,1201.0,,,7.74,,,,,,7.60245290896085,,,26.0,,,36.3,,,2296.0,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,9.0,9.0,21.0,63.0,mg g-1day-1
NQL2R4G9,33,2025-11-26 21:15:34 UTC,asdf,10.3354/meps11591,Peach K.E.; Koch M.S.; Blackwelder P.L.,Halimeda discoidea,,"Boca Raton, Florida, US",26.327,-80.0721666666667,,,,491.0,,,8.06,,,,,,7.92166525379566,,,26.2,,,36.0,,,2266.0,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,9.0,24.0,10.0,30.0,mg g-1day-1
NQL2R4G9,34,2025-11-26 21:15:34 UTC,asdf,10.3354/meps11591,Peach K.E.; Koch M.S.; Blackwelder P.L.,Halimeda discoidea,,"Boca Raton, Florida, US",26.327,-80.0721666666667,,,,653.0,,,8.0,,,,,,7.86204199414445,,,26.0,,,35.9,,,2286.0,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,9.0,-10.0,10.0,30.0,mg g-1day-1
NQL2R4G9,35,2025-11-26 21:15:34 UTC,asdf,10.3354/meps11591,Peach K.E.; Koch M.S.; Blackwelder P.L.,Halimeda discoidea,,"Boca Raton, Florida, US",26.327,-80.0721666666667,,,,982.0,,,7.86,,,,,,7.72234984361455,,,26.0,,,36.2,,,2298.0,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,9.0,29.0,13.0,39.0,mg g-1day-1
NQL2R4G9,36,2025-11-26 21:15:34 UTC,asdf,10.3354/meps11591,Peach K.E.; Koch M.S.; Blackwelder P.L.,Halimeda discoidea,,"Boca Raton, Florida, US",26.327,-80.0721666666667,,,,1201.0,,,7.74,,,,,,7.60245290896085,,,26.0,,,36.3,,,2296.0,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,9.0,0.0,6.0,18.0,mg g-1day-1
NQL2R4G9,37,2025-11-26 21:15:34 UTC,asdf,10.3354/meps09309,Price N.N.; Hamilton S.L.; Tootell J.S.; Smith J.E.,Halimeda opuntia,,Palmyra Atoll,5.8885026,-162.0786656,,,,440.0,,,8.03,,,,,,7.88326645239431,,,29.26,,,34.78,,,2221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.58044213129068,,2.41771637545714,mg g-1day-1
NQL2R4G9,38,2025-11-26 21:15:34 UTC,asdf,10.3354/meps09309,Price N.N.; Hamilton S.L.; Tootell J.S.; Smith J.E.,Halimeda taenicola,,Palmyra Atoll,5.8885026,-162.0786656,,,,440.0,,,7.99,,,,,,7.84315539016988,,,29.29,,,34.73,,,2221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8.00772908435422,,0.32688666603266,mg g-1day-1
NQL2R4G9,39,2025-11-26 21:15:34 UTC,asdf,10.3354/meps09309,Price N.N.; Hamilton S.L.; Tootell J.S.; Smith J.E.,Halimeda opuntia,,Palmyra Atoll,5.8885026,-162.0786656,,,,946.0,,,7.63,,,,,,7.48339382920499,,,29.23,,,34.85,,,2236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,-8.07300267146204,,1.5627620669681,mg g-1day-1
NQL2R4G9,40,2025-11-26 21:15:34 UTC,asdf,10.3354/meps09309,Price N.N.; Hamilton S.L.; Tootell J.S.; Smith J.E.,Halimeda taenicola,,Palmyra Atoll,5.8885026,-162.0786656,,,,946.0,,,7.62,,,,,,7.47330619758231,,,29.25,,,34.8,,,2236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.819161904432551,,1.69910173169529,mg g-1day-1
NQL2R4G9,41,2025-11-26 21:15:34 UTC,asdf,10.1007/s13131-022-2037-x,Wei Z.; Zhang Y.; Yang F.; Long L.,Halimeda opuntia,,South China Sea,17.05,111.3,,,,1400.0,,,7.71,,,,,,7.56642510593896,,,27.1,,,32.67,,,2396.0,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,3.0,0.21330413659286,,0.042318646840816,μmol g-1hr-1
